CÓDIGO;DESCRIPCIÓN;SERIE;CANTIDAD; PRECIO_USD ;ACTUALIZACIÓN HASTA -- > VIERNES, 14 DE NOVIEMBRE DE 2025 03:24:39 P. M.
01200;012.00 Kit de programación para PC Serie 12.71;S12;1; $85,41 ;
012BG8230;"012.BG.8.230 Antena GPS Bluetooth para tipo 12.B2; IP54";S12;4; $119,23 ;
01300;013.00 Conv. de pulsador fase / neutro. Serie [13, 13Y] [15,15Y];S13;2; $23,91 ;
01317;013.17 Adaptador para riel DIN Serie [13.22, 13.21, 15.21];S13Y;43; $3,64 ;
013B9;"013.B9 YESLY Pulsador de pared inalámbrico; 4 canales; BLE 4.2";S1Y;49; $154,70 ;
0150230;015.0.230 Supresor de corriente residual. Serie [15, 15Y];S15;14; $6,81 ;
01C0282300500;"01C.02.8.230.0500 Fte alimentación (110..230VAC) @ 5 VDC; BLISS 2";S1C;1; $59,65 ;
02263;"022.63 Modulo Auxiliar 2 NA; para tipo [22.44, 22.64]";S22;16; $31,61 ;
02600;026.00 Módulo p/pulsadores luminosos para Serie 20;S26;9; $7,00 ;
05625;056.25 Adaptador con aletas Serie [55.32, 55.33, 55.34], [56.32];S56;80; $2,32 ;
06K03;"06K.03 Modulo Auxiliar 1 NA + 1 NC; 2A para tipo [6K.04]";S6K;51; $12,01 ;
06K06;"06K.06 Modulo Auxiliar 2 NA + 2 NC; 2A para tipo [6K.04]";S6K;45; $21,00 ;
06K11;"06K.11 Modulo Auxiliar 1 NA; 2A para tipo [6K.13, 6K.14]";S6K;195; $6,03 ;
06K12;"06K.12 Modulo Auxiliar 1 NC; 2A para tipo [6K.13, 6K.14]";S6K;155; $6,03 ;
06KR00024;"06K.R0.0.024 Módulo RC (12 - 48V AC/DC); Tipo [6K.04]";S6K;20; $16,50 ;
06KR00110;"06K.R0.0.110 Módulo RC (48 - 127V AC/DC); Tipo [6K.04]";S6K;20; $16,50 ;
06KR00230;"06K.R0.0.230 Módulo RC (110 - 230V AC/DC); Tipo [6K.04]";S6K;20; $16,50 ;
06KR10024;"06K.R1.0.024 Módulo RC (12 - 48V AC/DC); Tipo [6K.13, 6K.14]";S6K;20; $11,00 ;
06KR10110;"06K.R1.0.110 Módulo RC (48 - 127V AC/DC); Tipo [6K.13, 6K.14]";S6K;20; $11,00 ;
06KR10230;"06K.R1.0.230 Módulo RC (110 - 230V AC/DC); Tipo [6K.13, 6K.14]";S6K;20; $11,00 ;
0720106;072.01.06 Cable-sonda 6 m (1.5 mm2) Serie [72.01, 72.11];S72;232; $31,31 ;
0720115;072.01.15 Cable-sonda 15 m (1.5 mm2) Serie [72.01, 72.11];S72;4; $38,23 ;
0720206;072.02.06 Cable-sonda 6 m (1.5 mm2) p/alto grado de salinidad;S72;33; $32,12 ;
07211;072.11 Sensor contra inundaciones Serie [72.01, 72.11];S72;4; $30,89 ;
072500;"072.500 Electrodo 475 mm; acero inox; Serie [72.01, 72.11]";S72;95; $13,72 ;
072501;"072.501 Empalme p/electrodos; acero inox; Serie [72.01, 72.11]";S72;2; $8,15 ;
072503;072.503 Separador Electrodos Tripolar Serie [72.01, 72.11];S72;38; $3,08 ;
07251;072.51 Portaelectrodo bipolar Serie [72.01, 72.11];S72;34; $59,41 ;
07253;072.53 Portaelectrodo tripolar Serie [72.01, 72.11];S72;27; $107,09 ;
07F15;07F.15 Filtros de recambio tamaño 1;S7F;15; $5,01 ;
07F25;07F.25 Filtros de recambio tamaño 2;S7F;12; $5,61 ;
07F35;07F.35 Filtros de recambio tamaño 3;S7F;15; $9,36 ;
07F45;07F.45 Filtros de recambio tamaño 4;S7F;11; $11,28 ;
07L01;07L.01 Cable de conexión AC 2x1.5mm2, 2m Longitud;S7L;21; $28,10 ;
07L10;07L.10 Interconector para lampara 2x1.5mm2, 1.0m longitud.;S7L;18; $29,65 ;
07L9003;07L.90.03 Interruptor P/puerta Gabinete 1NA 10 A;S7L;7; $72,83 ;
09033;090.33 Brida metálica para zócalo Serie 90;S90;37; $0,21 ;
09300020U;093.000.20.U Cable conector para PLC Serie 093.68.14.1;S93;5; $84,62 ;
09301;093.01 Separado Plastico Serie 38;S93;26; $1,10 ;
09308;093.08 Puente de 8 terminales azúl Serie 38.01/11/31/41/52/62;S93;49; $1,63 ;
093081;093.08.1 Puente de 8 terminales rojo Serie 38.01/11/31/41/52/62;S93;1; $1,63 ;
09316;093.16 Puente serie 39 color azul;S93;265; $2,00 ;
093160;093.16.0 Puente serie 39 color negro;S93;30; $2,00 ;
093161;093.16.1 Puente serie 39 color rojo;S93;39; $2,00 ;
09320;093.20 Puente 20 terminales Serie 38 Azul;S93;1373; $1,69 ;
093200;093.20.0 Puente 20 terminales Serie 38 negro;S93;69; $1,69 ;
093201;093.20.1 Puente 20 terminales Serie 38 rojo;S93;13; $1,69 ;
09362;093.62 Duplicador de cables Serie 39 Push-in;S93;4; $1,98 ;
09363;093.63 Módulo portafusible Serie 39.31/30/81/80/61/60/90;S93;161; $2,59 ;
093630024;093.63.0.024 Modulo portafusibles LED - (6.24)V AC/DC;S93;20; $7,20 ;
093638230;093.63.8.230 Modulo portafusibles LED - (110.240)V AC;S93;4; $7,74 ;
09401;094.01 Palanca de retención Serie 55;S94;235; $0,42 ;
09501;095.01 Palanca de retención Serie [95.03, 95.05];S95;12; $0,31 ;
09518;095.18 Puente 8 terminales Serie [95.05, 97.01, 97.02] Azul;S95;205; $2,09 ;
09571;095.71 Brida de retención metálica Serie [95.P5, 95.05, 95.55];S95;9; $0,21 ;
103282300000;10.32.8.230.0000 Interruptor crepuscular 230V AC 2NA 16A;S10;25; $77,87 ;
